,Cu,Ni,Cr,NO3
830,4.236714,2.7928264,0.17296329,14.464873
831,3.9874907,1.7465087,0.6223622,13.418697
832,4.025508,1.5212686,1.1819198,14.705821
833,4.3190036,2.1187952,1.7538145,17.982515
834,3.9409938,1.0766398,2.6201165,17.531548
835,4.547547,2.1424432,2.7226639,21.21236
836,4.719751,1.3907229,3.2093751,21.419947
837,4.4654355,2.3753197,3.8207068,24.985023
838,4.7556725,1.8409289,4.4101305,25.995804
839,4.063448,1.6022813,5.1322236,26.261745
840,4.118997,3.1466556,0.13645661,14.730791
841,4.3197064,2.8700476,0.4643026,15.767554
842,4.586728,2.6185634,1.0892956,17.808651
843,4.013174,2.8291998,1.7362726,18.681952
844,4.5619226,1.6213121,2.4131427,19.479765
845,4.9230194,1.5530225,2.8917637,21.169563
846,4.081126,1.5914941,3.7138426,22.148254
847,4.0697656,1.9472529,4.03224,24.00499
848,3.775077,2.6590111,4.7201366,27.163391
849,4.605352,1.4733862,4.680132,25.925669
850,4.2283072,3.4541636,0.2198222,15.917295
851,4.395788,2.479039,0.61559415,15.704452
852,4.049864,3.5104508,1.2010224,18.606842
853,4.176032,2.6218488,1.7157861,18.564304
854,4.351641,3.6244495,2.2010274,22.408464
855,4.590252,2.991479,2.6830087,23.03132
856,4.0973935,2.473207,3.4440777,23.222286
857,4.1234527,3.2102356,4.0158696,26.287764
858,4.154655,2.396392,4.4402227,26.068892
859,3.9307,2.4357917,5.0227566,27.475002
860,4.0682745,3.878513,0.11185169,16.057037
861,4.2725353,3.7975976,0.703245,17.898794
862,4.506969,2.5402846,1.3039274,17.645367
863,4.58428,2.563703,1.7428339,19.37222
864,4.271215,3.2274883,2.0187774,21.04095
865,4.642494,2.5920484,2.7131836,22.677715
866,4.285129,2.647372,3.5671425,24.208334
867,4.396882,4.0838017,4.2527184,28.949617
868,4.318061,1.7321644,4.3218184,24.77326
869,4.252219,2.8383052,4.826424,28.256258
870,4.265652,3.4848769,0.18894067,15.9964
871,4.333472,4.3890076,0.71623236,19.227785
872,4.630953,3.3911643,1.1138437,19.121988
873,4.258247,3.6635447,1.8655359,20.916605
874,3.8704655,4.1176343,2.5146134,22.993366
875,4.14656,3.725573,3.0743694,24.571299
876,4.3587356,3.7572393,3.5146697,26.190994
877,4.3313417,3.4438107,4.0143704,27.183899
878,4.519992,4.103227,4.4149966,29.682684
879,4.232564,2.6914556,4.7671494,27.75466
880,4.476629,4.0955844,0.18617606,17.628689
881,4.602997,3.5697672,0.54272723,18.0227
882,4.7244344,3.5304103,1.1437998,19.827732
883,4.520492,2.075528,1.6610757,18.18331
884,5.044175,2.9952393,2.1853006,22.389605
885,4.368269,3.419594,2.8360908,23.761005
886,4.5545897,3.888347,3.4679706,26.728718
887,4.276688,4.8268967,3.972739,29.539867
888,4.2896237,4.7313304,4.511687,30.986794
889,4.29368,4.6316514,4.9395947,32.31061
890,4.4940267,5.3045692,0.24452549,20.046347
891,4.461135,4.892792,0.7893224,20.534117
892,4.0392823,4.4465165,1.201706,20.577328
893,4.328987,3.5081334,1.7804623,20.749144
894,5.036416,2.8805966,2.3411686,22.538378
895,4.3998985,5.1767855,2.8637614,27.266014
896,4.351852,3.9479675,3.4222515,26.49936
897,4.4561753,3.0704174,4.033144,26.893837
898,4.3559933,5.1084037,4.2593656,31.47004
899,4.3526382,2.623267,4.925703,29.066916
900,4.5537176,2.9968233,0.024197478,14.918727
901,4.678977,1.087523,0.6071786,13.247159
902,5.192556,2.3934798,1.1966707,18.338741
903,5.0454755,0.72109824,1.7104702,16.84486
904,4.963138,2.3044088,2.3195705,21.448956
905,4.883972,1.6972828,2.610739,20.822363
906,4.853038,2.4608731,3.2168102,23.974182
907,4.567939,1.521291,4.119265,24.263964
908,4.831898,0.0,4.5543485,22.646727
909,4.8514953,0.4317883,4.634609,24.536802
910,4.585711,2.467888,0.13969381,14.299718
